product,smoker,issue_age,rate_2022,rate_2025,increase
LTA,True,29,1.1177202418337868,1.1723880281917152,0.0489100799214639
LTA,True,30,1.182000874935346,1.2373087831717946,0.0467917659024355
LTA,True,31,1.2566796720837226,1.312824863125541,0.04467740848288182
LTA,True,32,1.3432586990830768,1.4009577681719798,0.04295454712356528
LTA,True,33,1.4430567975779067,1.502258126838921,0.041024947431300474
LTA,True,34,1.5572618238590856,1.6181572371514459,0.039104158568180836
LTA,True,35,1.6880452124038503,1.750950828363744,0.037265362028019
LTA,True,36,1.837151491664942,1.9024156373851673,0.03552464019234414
LTA,True,37,2.007428035297477,2.0754490839944943,0.033884676063586694
LTA,True,38,2.2010013792402567,2.2720115839583515,0.03226268069973037
LTA,True,39,2.420845094219371,2.495670370935122,0.03090874211424044
LTA,True,40,2.6701930069147446,2.7493332798396954,0.02963840917866567
LTA,True,41,2.9523905001085704,3.036182939805381,0.028381218437645295
LTA,True,42,3.2710035954581698,3.360101192437245,0.02723861175291531
LTA,True,43,3.6299685001334736,3.7251374106296966,0.026217558221985682
LTA,True,44,4.033568060006723,4.136278850299785,0.025464003275772473
LTA,True,45,4.486401713188015,4.597582607967569,0.024781752033646853
LTA,True,46,4.9937160069581354,5.114051427238163,0.024097369596580043
LTA,True,47,5.560569278774831,5.690928416714654,0.023443487780543615
LTA,True,48,6.1921003177888,6.3336294701316955,0.02285640494814145
LTA,True,49,6.8941976971906005,7.048141412359549,0.022329460501499865
LTA,True,50,7.672981943359453,7.840671053522004,0.021854490392444692
LTA,True,51,8.534815890610183,8.717663494278584,0.021423731456183592
LTA,True,52,9.486081725471143,9.685571431537044,0.021029726692133544
LTA,True,53,10.533501106465096,10.751185284719169,0.020665890291734712
LTA,True,54,11.683704226412535,11.921186153811375,0.020325910584246154
LTA,True,55,12.943274850874756,13.202180368848063,0.020003092027039093
MP,False,25,0.5421622003090487,0.5874753012670902,0.08357849538793327
MP,False,26,0.5505556835206966,0.5961079255354619,0.08273866454972834
MP,False,27,0.560236844087748,0.6060859071813228,0.08183871442484714
MP,False,28,0.571206138804456,0.6173962336553975,0.0808641429302881
MP,False,29,0.5840505421502418,0.6306803035058605,0.0798385721618311
MP,False,30,0.598844848908405,0.6460133186891048,0.07876576022433901
MP,False,31,0.615659533765174,0.6634653032902769,0.07764968607362954
MP,False,32,0.6345069020952089,0.6830195826162966,0.07645729362579612
MP,False,33,0.6556913404901096,0.7049969936540834,0.075196437895793
MP,False,34,0.6793872466283607,0.7295561052375991,0.07384427490833034
MP,False,35,0.7057813167722744,0.7568815683173885,0.07240238630686502
MP,False,36,0.7354779105283799,0.7876142370137014,0.0708876850534721
MP,False,37,0.7688369895365598,0.8221183310678247,0.06930122022794705
MP,False,38,0.8063275269903277,0.8608796601127995,0.06765505492053747
MP,False,39,0.8486724993136885,0.9046561949664511,0.06596619508471879
MP,False,40,0.8962570995547304,0.953827295098627,0.06423401898015424
MP,False,41,0.9499139633357021,1.0092626450785542,0.06247795488177088
MP,False,42,1.0103044026836443,1.0716363162301163,0.060706370657751973
MP,False,43,1.078338664385496,1.1418849459443656,0.05892979975366286
MP,False,44,1.1551470877072705,1.2211889411747614,0.0571718131572061
MP,False,45,1.2418386510197328,1.3103227538482123,0.055147343636183344
MP,False,46,1.3425123387829088,1.4136879997811902,0.05301676486847606
MP,False,47,1.4574528658552335,1.532147777388124,0.051250310238375674
MP,False,48,1.5876795958185372,1.666434867706587,0.049604008324769744
MP,False,49,1.7355198237959142,1.8191531445276687,0.04818920509293423
MP,False,50,1.9023088351780633,1.9913322630695325,0.04679756843117233
MP,False,51,2.0912545022676756,2.18655810487641,0.045572455435429315
MP,False,52,2.3040355948794655,2.406356055974858,0.04440923626474835
MP,False,53,2.543681320733867,2.6540134232909725,0.04337497062142748
MP,False,54,2.814724283465047,2.9340941700581418,0.04240908684887068
MP,False,55,3.119596611417294,3.2490267613256294,0.041489386619615765
MP,True,25,0.6805286326419856,0.7330397526566553,0.07716224931022841
MP,True,26,0.694282735425191,0.7470450508228789,0.0759954305436894
MP,True,27,0.7106100691334056,0.7636908450737749,0.07469747227913848
MP,True,28,0.7303101159179562,0.7838346778551576,0.07329018285598332
MP,True,29,0.7537790659204249,0.8078976326296151,0.07179632488613508
MP,True,30,0.7814439451462113,0.8363141135553889,0.07021638436127509
MP,True,31,0.8140375600177935,0.8698714070579416,0.06858878482084751
MP,True,32,0.8515581221458574,0.9085073867751927,0.06687654447570512
MP,True,33,0.8946752384318045,0.9529122703684436,0.06509292918256859
MP,True,34,0.9439696184881975,1.0036595485621773,0.06323289320431247
MP,True,35,1.0004823646313143,1.0618481364939183,0.061336185456120074
MP,True,36,1.0650742672060263,1.1283433017184903,0.05940340167867886
MP,True,37,1.139173311229358,1.2046495060279285,0.05747693889344263
MP,True,38,1.2237853366174853,1.2917811370706676,0.05556186891495285
MP,True,39,1.3222419193689656,1.3926046446465872,0.05321471377280318
MP,True,40,1.4367605021804182,1.5104283535418666,0.05127357778116148
MP,True,41,1.5683733814491285,1.6461447331126844,0.049587268301950926
MP,True,42,1.7189528584160978,1.801512439491844,0.04802899664847082
MP,True,43,1.890260845536145,1.9785112409517045,0.046686887486435014
MP,True,44,2.084825889593228,2.179606714865171,0.04546222576429915
MP,True,45,2.305584396638259,2.4079365560192514,0.04439315235227581
MP,True,46,2.554926187343185,2.665876998302454,0.043426229496924984
MP,True,47,2.8358648857376587,2.9565551914490857,0.04255855288395849
MP,True,48,3.151605706547102,3.283282987758388,0.04178101370286935
MP,True,49,3.506402717572611,3.650958979069661,0.04122637162371423
MP,True,50,3.904141856788344,4.062832540746401,0.040646751521626445
MP,True,51,4.3487158978752785,4.523239415299681,0.040132195692450745
MP,True,52,4.844513629210139,5.036721847111299,0.03967544166709214
MP,True,53,5.396370800238666,5.608280433332721,0.03926891626585105
MP,True,54,6.009246632897478,6.243040562821636,0.03890569720408199
MP,True,55,6.688300253604552,6.9463148220158,0.03857700142456899
