product,smoker,issue_age,rate_per_1000,reference_sa,reference_premium
MP,False,52,2.3040355948794655,300000.0,751.2106784638397
MP,False,53,2.543681320733867,300000.0,823.1043962201601
MP,False,54,2.814724283465047,300000.0,904.4172850395141
MP,False,55,3.119596611417294,300000.0,995.8789834251883
MP,True,25,0.6805286326419856,300000.0,264.15858979259565
MP,True,26,0.694282735425191,300000.0,268.28482062755734
MP,True,27,0.7106100691334056,300000.0,273.1830207400217
MP,True,28,0.7303101159179562,300000.0,279.09303477538685
MP,True,29,0.7537790659204249,300000.0,286.13371977612746
MP,True,30,0.7814439451462113,300000.0,294.4331835438634
MP,True,31,0.8140375600177935,300000.0,304.21126800533807
MP,True,32,0.8515581221458574,300000.0,315.4674366437572
MP,True,33,0.8946752384318045,300000.0,328.4025715295413
MP,True,34,0.9439696184881975,300000.0,343.19088554645924
MP,True,35,1.0004823646313143,300000.0,360.14470938939434
MP,True,36,1.0650742672060263,300000.0,379.5222801618079
MP,True,37,1.139173311229358,300000.0,401.7519933688074
MP,True,38,1.2237853366174853,300000.0,427.1356009852456
MP,True,39,1.3222419193689656,300000.0,456.6725758106897
MP,True,40,1.4367605021804182,300000.0,491.02815065412545
MP,True,41,1.5683733814491285,300000.0,530.5120144347386
MP,True,42,1.7189528584160978,300000.0,575.6858575248293
MP,True,43,1.890260845536145,300000.0,627.0782536608435
MP,True,44,2.084825889593228,300000.0,685.4477668779683
MP,True,45,2.305584396638259,300000.0,751.6753189914778
MP,True,46,2.554926187343185,300000.0,826.4778562029554
MP,True,47,2.8358648857376587,300000.0,910.7594657212977
MP,True,48,3.151605706547102,300000.0,1005.4817119641307
MP,True,49,3.506402717572611,300000.0,1111.9208152717833
MP,True,50,3.904141856788344,300000.0,1231.2425570365033
MP,True,51,4.3487158978752785,300000.0,1364.6147693625835
MP,True,52,4.844513629210139,300000.0,1513.3540887630415
MP,True,53,5.396370800238666,300000.0,1678.9112400715997
MP,True,54,6.009246632897478,300000.0,1862.7739898692432
MP,True,55,6.688300253604552,300000.0,2066.4900760813657
